Id,Sex,Race/Origin,Years at School,Years in Monterrey,Home Language,ASFM MIDDAYS Creative Writing Club,Biosciences Club,Guiding Light Club,High Power Rocket Club,MCC (Multicultural Club),MUN Club,THOTH Math and Logic Club,Ambassadors,CCE Student Office,CCE A Roof in ASFM,Miles4Smiles,National Honors Society,Peer College Counseling,Student Council (STUCO),Apoya tu Bosque Loal Reforestacion,Cardio Chavitos,Caritas,Casa Monarca,Centro Civitas,Cruz Rosa,DIF NL,Hogar Ortigosa,Hola Vecino,La Gran Familia,Leones en Accion,Más Utiles,Nuevo Amanecer,Parque Chipinque,ProNatura,Regalando Estrellas,Soñar Despierto,TECHO Volunteer,Unidos,UUCHUL- Organic Garden Maintenance,Zona 85,Track & Field,Fitness,Flag Football,Basketball,Volleyball,Soccer,Fitness,Parle-Moi En Français ! A1.3 (Beginner Students),Parle-Moi En Français ! A1.3 (Second Year Students),Taekwondo,Taekwondo,Graffiti Art Class,Digital Art,Chess Club,First Robotics Competition,Math Sat Prep Course,Lang Sat Prep Course,Mathematical Reasoning
N112,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N057,1,Hispanic,10+,15+,Spanish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N111,1,Hispanic,10+,15+,Spanish,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
N061,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N041,1,,10+,15+,Spanish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N050,1,Hispanic,10+,15+,Spanish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
N054,0,Hispanic,10+,15+,Spanish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N014,0,Hispanic,10+,15+,Spanish,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
N009,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N002,1,Hispanic,10+,15+,Spanish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
